respondent_id,age_group,gender,country,city,education_level,years_experience,domain_role,tech_primary,tech_secondary,salary_inr,employment_type,company_size,remote_work,job_satisfaction,work_life_balance,tools_used,languages_known,certification_count,projects_count,overtime_frequency,tenure_years,promotion_last_year,hours_per_week,industry,managers_count,team_size,performance_score,survey_year,comments
1,35-44,Male,India,Hyderabad,Bachelors,0,Data Analyst,Python,None,400000,Full-time,5000+,Hybrid,1,1,Power BI,"C++, Scala",0,6,Always,4.3,No,48,Healthcare,0,25,2,2024,Learning a lot
2,25-34,Female,India,Bengaluru,Diploma,2,ML Engineer,Power BI,Tableau,937052,Freelance,5000+,Hybrid,1,4,Spark,C++,2,11,Always,2.0,Yes,31,Consulting,1,25,3,2021,Stressful
3,35-44,Female,India,Delhi,Masters,6,Data Analyst,SQL,AWS,659698,Part-time,201-1000,On-site,1,5,"Azure, Power BI","Java, Scala",2,7,Sometimes,8.4,Yes,37,IT,2,13,3,2021,Stressful
4,35-44,Male,India,Delhi,PhD,11,Software Engineer,Power BI,None,1050781,Part-time,201-1000,Remote,2,5,"TensorFlow, Spark, None","SQL, Scala, Java",0,1,Never,1.6,Yes,55,Consulting,3,20,1,2024,Looking to switch
5,35-44,Other,India,Kolkata,Diploma,7,Software Engineer,Python,None,886330,Freelance,201-1000,Remote,3,4,"AWS, Python","C++, SQL, Python",6,9,Always,6.1,Yes,41,Finance,4,25,5,2021,Satisfied
6,18-24,Male,India,Chennai,Masters,7,ML Engineer,SQL,Tableau,1100495,Full-time,1-50,On-site,4,1,"Excel, AWS","R, C++",6,13,Rarely,9.3,Yes,52,Healthcare,3,22,3,2024,Satisfied
7,25-34,Male,India,Bengaluru,Masters,1,BI Analyst,Python,TensorFlow,506301,Part-time,5000+,Remote,1,1,Power BI,Python,6,10,Never,5.2,No,51,Retail,1,18,2,2024,Stressful
8,45-54,Male,India,Bengaluru,Diploma,12,BI Analyst,Power BI,AWS,1023108,Intern,1001-5000,On-site,1,1,Spark,"Python, SQL, C++",1,14,Rarely,4.3,No,44,Finance,0,15,5,2021,Good place
9,18-24,Male,India,Hyderabad,PhD,0,Software Engineer,Power BI,Azure,500000,Intern,1-50,Remote,4,1,"R, AWS, None, Spark","SQL, Scala, R, Python",0,1,Sometimes,0.7,No,46,Education,1,2,5,2021,Stressful
10,18-24,Other,India,Kolkata,Bachelors,9,Data Analyst,Power BI,Tableau,916006,Part-time,5000+,On-site,1,5,Spark,"R, SQL, Scala",1,8,Often,1.4,No,44,Healthcare,0,1,4,2021,Good place
11,35-44,Male,India,Chennai,Diploma,3,Software Engineer,SQL,AWS,616028,Part-time,1001-5000,On-site,3,5,None,"Scala, Python, SQL",2,3,Never,7.4,Yes,38,Healthcare,4,7,3,2022,Learning a lot
